Key,Fecha_Encuentro,Host_Key,Tipo_Inmueble,Dormitorios,Capacidad,Min_Nights,Precio,Distrito,Barrio,Precio/Capacidad
17619712,2017-08-14,996454,Habitacion_Privada,3.0,6.0,1.0,75.0,San_Pablo_Santa_Justa,Las_Huertas,12.5
25001601,2018-05-25,22814168,Inmueble_Completo,2.0,3.0,2.0,50.0,San_Pablo_Santa_Justa,Las_Huertas,16.666666666666668
12066401,2017-08-14,64642311,Inmueble_Completo,1.0,4.0,1.0,50.0,San_Pablo_Santa_Justa,Las_Huertas,12.5
19201324,2017-08-14,102310846,Habitacion_Privada,0.0,2.0,2.0,42.0,San_Pablo_Santa_Justa,Las_Huertas,21.0
6927562,2017-08-14,36316483,Inmueble_Completo,3.0,4.0,2.0,45.0,San_Pablo_Santa_Justa,San_Jose_Obrero,11.25
22339222,2018-05-05,154773972,Habitacion_Privada,1.0,2.0,1.0,22.0,San_Pablo_Santa_Justa,San_Jose_Obrero,11.0
16263800,2017-08-14,100193896,Habitacion_Privada,1.0,2.0,1.0,25.0,San_Pablo_Santa_Justa,San_Jose_Obrero,12.5
5892284,2017-08-14,1175508,Habitacion_Privada,1.0,2.0,2.0,48.0,San_Pablo_Santa_Justa,San_Jose_Obrero,24.0
12269014,2017-08-14,62009470,Habitacion_Privada,1.0,2.0,1.0,35.0,San_Pablo_Santa_Justa,San_Jose_Obrero,17.5
1182424,2017-08-14,1175508,Habitacion_Privada,1.0,2.0,2.0,73.0,San_Pablo_Santa_Justa,San_Jose_Obrero,36.5
15444885,2017-08-14,52584194,Habitacion_Privada,1.0,2.0,1.0,25.0,San_Pablo_Santa_Justa,San_Jose_Obrero,12.5
213680,2017-08-14,1175508,Habitacion_Privada,2.0,2.0,2.0,47.0,San_Pablo_Santa_Justa,San_Jose_Obrero,23.5
225603,2017-08-14,1175508,Habitacion_Privada,1.0,2.0,2.0,48.0,San_Pablo_Santa_Justa,San_Jose_Obrero,24.0
6401259,2017-08-14,996454,Habitacion_Privada,1.0,2.0,2.0,25.0,San_Pablo_Santa_Justa,San_Jose_Obrero,12.5
18029991,2017-08-14,123911082,Habitacion_Privada,1.0,2.0,2.0,51.0,San_Pablo_Santa_Justa,San_Jose_Obrero,25.5
11151583,2017-08-14,57847267,Inmueble_Completo,2.0,4.0,1.0,60.0,San_Pablo_Santa_Justa,San_Jose_Obrero,15.0
18271601,2017-08-14,126309577,Inmueble_Completo,3.0,5.0,2.0,53.0,San_Pablo_Santa_Justa,San_Jose_Obrero,10.6
11751808,2017-08-29,4446724,Habitacion_Privada,1.0,1.0,2.0,20.0,San_Pablo_Santa_Justa,San_Jose_Obrero,20.0
10491676,2017-08-14,35136308,Inmueble_Completo,3.0,6.0,2.0,41.0,San_Pablo_Santa_Justa,San_Jose_Obrero,6.833333333333333
18167228,2017-08-14,125314075,Habitacion_Privada,1.0,2.0,2.0,38.0,San_Pablo_Santa_Justa,San_Jose_Obrero,19.0
13448910,2017-08-14,39324326,Inmueble_Completo,2.0,6.0,2.0,59.0,San_Pablo_Santa_Justa,San_Jose_Obrero,9.833333333333334
17976003,2017-08-14,87596141,Inmueble_Completo,2.0,6.0,1.0,60.0,San_Pablo_Santa_Justa,Santa_Clara,10.0
8520444,2017-08-14,44745922,Habitacion_Privada,1.0,1.0,1.0,20.0,San_Pablo_Santa_Justa,Santa_Clara,20.0
18581179,2017-08-14,129006976,Inmueble_Completo,2.0,3.0,1.0,44.0,San_Pablo_Santa_Justa,Santa_Clara,14.666666666666666
21682054,2018-05-25,157835871,Inmueble_Completo,3.0,9.0,1.0,52.0,San_Pablo_Santa_Justa,Santa_Clara,5.777777777777778
24278441,2018-05-05,29376091,Habitacion_Privada,1.0,2.0,1.0,18.0,San_Pablo_Santa_Justa,Santa_Clara,9.0
23924595,2018-05-05,148986592,Habitacion_Privada,2.0,2.0,1.0,93.0,San_Pablo_Santa_Justa,Santa_Clara,46.5
871206,2017-08-14,4592857,Inmueble_Completo,4.0,8.0,3.0,200.0,San_Pablo_Santa_Justa,Santa_Clara,25.0
16935900,2017-08-14,1379382,Inmueble_Completo,1.0,3.0,4.0,51.0,San_Pablo_Santa_Justa,Santa_Clara,17.0
16333822,2017-08-14,14826115,Habitacion_Privada,1.0,1.0,1.0,22.0,San_Pablo_Santa_Justa,Santa_Clara,22.0
23658714,2018-05-25,118796113,Inmueble_Completo,2.0,4.0,2.0,83.0,San_Pablo_Santa_Justa,Santa_Clara,20.75
949716,2017-08-14,5150347,Inmueble_Completo,0.0,4.0,3.0,73.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,18.25
19185575,2017-08-14,133934526,Inmueble_Completo,3.0,4.0,2.0,127.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,31.75
19044017,2017-08-14,10885808,Inmueble_Completo,2.0,4.0,2.0,70.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,17.5
21350451,2018-05-05,112105848,Habitacion_Privada,1.0,2.0,2.0,42.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,21.0
399073,2017-08-14,1379382,Inmueble_Completo,2.0,3.0,3.0,81.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,27.0
20833841,2018-05-25,10885808,Inmueble_Completo,2.0,4.0,2.0,70.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,17.5
18374110,2017-08-14,66746672,Inmueble_Completo,3.0,5.0,3.0,107.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,21.4
831220,2017-08-14,4250593,Habitacion_Privada,1.0,2.0,1.0,28.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,14.0
20077638,2017-08-14,39094967,Habitacion_Privada,1.0,1.0,1.0,15.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,15.0
24401641,2018-05-25,78114976,Inmueble_Completo,1.0,2.0,1.0,83.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,41.5
21269666,2018-05-25,10729676,Inmueble_Completo,2.0,4.0,2.0,62.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,15.5
18101806,2017-08-14,124685875,Inmueble_Completo,3.0,5.0,2.0,90.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,18.0
11602405,2017-08-14,34259073,Inmueble_Completo,2.0,3.0,3.0,69.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,23.0
15334294,2017-08-14,75981447,Inmueble_Completo,3.0,4.0,2.0,55.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,13.75
8229768,2017-08-14,37202852,Habitacion_Privada,1.0,2.0,2.0,31.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,15.5
17870805,2017-08-14,122335364,Inmueble_Completo,2.0,4.0,2.0,80.0,San_Pablo_Santa_Justa,Huerta_De_Santa_Teresa,20.0
21309060,2018-05-25,96411059,Inmueble_Completo,4.0,7.0,2.0,58.0,San_Pablo_Santa_Justa,San_Pablo_A_Y_B,8.285714285714286
18563963,2017-08-14,123567511,Inmueble_Completo,3.0,4.0,1.0,50.0,San_Pablo_Santa_Justa,San_Pablo_A_Y_B,12.5
15187130,2017-08-14,96411059,Inmueble_Completo,4.0,7.0,2.0,58.0,San_Pablo_Santa_Justa,San_Pablo_A_Y_B,8.285714285714286
2863778,2017-08-14,14526426,Habitacion_Privada,0.0,2.0,2.0,24.0,San_Pablo_Santa_Justa,San_Pablo_A_Y_B,12.0
18140040,2017-08-29,124075622,Inmueble_Completo,0.0,3.0,1.0,119.0,San_Pablo_Santa_Justa,San_Pablo_A_Y_B,39.666666666666664
24098932,2018-05-05,157751947,Habitacion_Privada,1.0,2.0,1.0,30.0,San_Pablo_Santa_Justa,San_Carlos_Tartessos,15.0
14449923,2017-08-14,88994967,Inmueble_Completo,3.0,4.0,3.0,47.0,San_Pablo_Santa_Justa,San_Carlos_Tartessos,11.75
16323527,2017-08-14,46112388,Habitacion_Privada,1.0,2.0,1.0,17.0,San_Pablo_Santa_Justa,San_Carlos_Tartessos,8.5
16227345,2017-08-14,46112388,Habitacion_Privada,1.0,2.0,1.0,19.0,San_Pablo_Santa_Justa,San_Carlos_Tartessos,9.5
17872249,2017-08-14,122348966,Habitacion_Privada,0.0,2.0,1.0,19.0,San_Pablo_Santa_Justa,San_Carlos_Tartessos,9.5
16038067,2017-08-14,75868521,Inmueble_Completo,1.0,3.0,2.0,41.0,San_Pablo_Santa_Justa,Arbol_Gordo,13.666666666666666
13937774,2017-08-14,82797754,Habitacion_Privada,1.0,2.0,1.0,15.0,San_Pablo_Santa_Justa,Arbol_Gordo,7.5
12838426,2017-08-14,70098292,Inmueble_Completo,2.0,3.0,2.0,50.0,San_Pablo_Santa_Justa,Arbol_Gordo,16.666666666666668
20180776,2018-05-27,143670222,Inmueble_Completo,4.0,6.0,2.0,58.0,San_Pablo_Santa_Justa,Arbol_Gordo,9.666666666666666
1824335,2017-08-14,9549015,Habitacion_Privada,1.0,2.0,2.0,45.0,San_Pablo_Santa_Justa,Arbol_Gordo,22.5
21158583,2018-05-05,151772521,Habitacion_Privada,0.0,1.0,1.0,42.0,San_Pablo_Santa_Justa,San_Pablo_C,42.0
