Key,Host_Key,Distrito,Barrio,Tipo_Inmueble,Precio,Min_Nights,Anuncios_Totales_del_Host,Capacidad,Dormitorios,Camas,Baños,Precio/Capacidad
108236,560040,Casco_Antiguo,San Lorenzo,Inmueble_Completo,89,2,2,6.0,2.0,3.0,1.0,14.833333333333334
898157,4790497,Casco_Antiguo,Alfalfa,Inmueble_Completo,94,3,33,3.0,1.0,3.0,1.0,31.333333333333332
661655,3340359,Casco_Antiguo,Feria,Inmueble_Completo,151,2,7,6.0,2.0,4.0,2.0,25.166666666666668
108568,589600,Casco_Antiguo,San Lorenzo,Inmueble_Completo,111,3,10,6.0,2.0,4.0,1.0,18.5
899093,4790497,Casco_Antiguo,San Lorenzo,Inmueble_Completo,122,3,33,4.0,2.0,3.0,2.0,30.5
116703,589600,Casco_Antiguo,Arenal,Inmueble_Completo,120,3,10,4.0,1.0,2.0,1.0,30.0
901012,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,84,2,23,4.0,1.0,1.0,1.0,21.0
117278,589600,Casco_Antiguo,Arenal,Inmueble_Completo,94,3,10,4.0,1.0,3.0,,23.5
674541,560040,Casco_Antiguo,San Vicente,Inmueble_Completo,56,2,2,5.0,1.0,2.0,1.0,11.2
901842,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,84,2,23,4.0,1.0,2.0,1.0,21.0
901890,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,139,2,23,4.0,1.0,2.0,2.0,34.75
179629,860055,Casco_Antiguo,Santa Cruz,Inmueble_Completo,140,3,23,5.0,3.0,4.0,1.0,28.0
901976,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,144,2,23,6.0,2.0,3.0,1.0,24.0
185356,860055,Macarena,"León XIII, Los Naranjos",Inmueble_Completo,156,3,23,7.0,3.0,7.0,2.0,22.285714285714285
902992,4790497,Casco_Antiguo,Santa Cruz,Inmueble_Completo,107,3,33,2.0,,1.0,1.0,53.5
903029,4790497,Casco_Antiguo,Santa Cruz,Inmueble_Completo,116,3,33,3.0,,2.0,1.0,38.666666666666664
678283,2426762,Casco_Antiguo,Alfalfa,Inmueble_Completo,81,3,5,4.0,1.0,1.0,1.0,20.25
201209,983968,Macarena,Las Avenidas,Inmueble_Completo,71,2,9,8.0,3.0,5.0,1.0,8.875
683111,3258098,Casco_Antiguo,Alfalfa,Inmueble_Completo,139,1,20,4.0,1.0,2.0,1.0,34.75
903045,4790497,Casco_Antiguo,Santa Cruz,Inmueble_Completo,109,3,33,3.0,,2.0,1.0,36.333333333333336
207702,1022533,Casco_Antiguo,Museo,Inmueble_Completo,107,3,1,2.0,1.0,1.0,1.0,53.5
903083,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,216,2,23,,,,,
227905,1188880,Casco_Antiguo,Museo,Habitacion_Privada,40,1,2,1.0,1.0,1.0,,40.0
903380,4827501,Casco_Antiguo,San Gil,Inmueble_Completo,192,1,5,6.0,3.0,3.0,2.0,32.0
